component,kind,time,P,Q,T,U,d,fill_level,h,m,m_l,m_v,s
gn2_supply_4500psi,Node,15.8,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,15.8,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,15.9,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,15.9,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,16.0,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,16.0,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,16.1,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,16.1,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,16.2,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,16.2,30148963.06857276,,290.8484108988138,891973.090496601,306.2175044265372,0.0,260282.3891500895,5.511915079677669,0.0,5.511915079677669,4966.169098552115
gn2_supply_4500psi,Node,16.2,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.3,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.4,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.4,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.4,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.5,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.6,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.6,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.7,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.7,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.8,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.8,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.9,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.9,30113356.18405988,,290.7539272634478,891255.9069715079,306.0644263435292,0.0,260166.05127659475,5.509159674183525,0.0,5.509159674183525,4966.168998524203
gn2_supply_4500psi,Node,16.9,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.0,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.1,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.1,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.2,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.2,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.2,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.3,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.4,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.4,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.4,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.5,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.6,30077823.543547243,,290.6595547121939,890539.8384542918,305.9115179064192,0.0,260049.89794979044,5.506407322315545,0.0,5.506407322315545,4966.16889868336
gn2_supply_4500psi,Node,17.6,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,17.7,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,17.7,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,17.8,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,17.8,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,17.9,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,17.9,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,17.9,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,18.0,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,18.1,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,18.1,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,18.2,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,18.2,30042364.920149527,,290.565292997952,889824.8821111183,305.75877876998373,0.0,259933.9286764292,5.503658017859707,0.0,5.503658017859707,4966.168799029014
gn2_supply_4500psi,Node,18.2,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.3,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.4,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.4,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.4,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.5,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.6,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.6,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.7,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.7,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.8,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.8,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.9,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.9,30006980.087890983,,290.4711418744099,889111.0351181992,305.6062085900337,0.0,259818.14296506727,5.500911754620606,0.0,5.500911754620606,4966.168699560602
gn2_supply_4500psi,Node,18.9,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.0,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.1,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.1,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.2,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.2,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.2,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.3,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.4,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
