component,kind,time,P,Q,T,U,d,fill_level,h,m,m_l,m_v,s
pressurized_tank,Node,0.0,9548765.133445673,,292.97741741890883,151796.29129566124,109.86360493513322,0.0,284297.5125629263,0.7690452345459325,0.0,0.7690452345459325,5404.51911697933
pressurized_tank,Node,0.1,9529788.451054813,,292.80504585843306,151525.3085900949,109.72743837239433,0.0,284124.56874256243,0.7680920686067604,0.0,0.7680920686067604,5404.518750849342
pressurized_tank,Node,0.1,9510861.976126451,,292.6328848305165,151254.94410558933,109.59149976646017,0.0,283951.8685334341,0.7671404983652212,0.0,0.7671404983652212,5404.5183851792835
pressurized_tank,Node,0.2,9491985.531077353,,292.4609338488173,150985.19597852364,109.45578857384609,0.0,283779.41127653565,0.7661905200169227,0.0,0.7661905200169227,5404.518019967804
pressurized_tank,Node,0.2,9473158.939136554,,292.2891924286981,150716.0623526724,109.32030425289784,0.0,283607.19631546823,0.7652421297702849,0.0,0.7652421297702849,5404.517655213559
pressurized_tank,Node,0.2,9454382.024340797,,292.1176600872191,150447.54137916834,109.18504626378343,0.0,283435.22299642605,0.764295323846484,0.0,0.764295323846484,5404.517290915209
pressurized_tank,Node,0.3,9435654.611529946,,291.94633634313044,150179.63121646535,109.05001406848488,0.0,283263.49066818366,0.7633500984793942,0.0,0.7633500984793942,5404.516927071423
pressurized_tank,Node,0.4,9416976.526342502,,291.77522071686434,149912.3300303017,108.91520713079026,0.0,283091.998682083,0.7624064499155319,0.0,0.7624064499155319,5404.516563680877
pressurized_tank,Node,0.4,9398347.59521104,,291.6043127305268,149645.6359936634,108.78062491628559,0.0,282920.74639201927,0.7614643744139992,0.0,0.7614643744139992,5404.516200742242
pressurized_tank,Node,0.5,9379767.645357784,,291.43361190789057,149379.5472867479,108.64626689234687,0.0,282749.73315442976,0.7605238682464281,0.0,0.7605238682464281,5404.515838254211
pressurized_tank,Node,0.5,9361236.504790137,,291.2631177743871,149114.06209692793,108.51213252813211,0.0,282578.95832827996,0.7595849276969248,0.0,0.7595849276969248,5404.515476215471
pressurized_tank,Node,0.6,9342754.002296297,,291.0928298570994,148849.1786187156,108.3782212945734,0.0,282408.4212750505,0.7586475490620138,0.0,0.7586475490620138,5404.5151146247135
pressurized_tank,Node,0.6,9324319.967440844,,290.9227476847538,148584.89505372674,108.24453266436915,0.0,282238.12135872454,0.757711728650584,0.0,0.757711728650584,5404.514753480644
pressurized_tank,Node,0.7,9305934.2305604,,290.7528707877127,148321.20961064534,108.11106611197613,0.0,282068.05794577673,0.756777462783833,0.0,0.756777462783833,5404.514392781964
pressurized_tank,Node,0.7,9287596.622759335,,290.5831986979679,148058.12050518836,107.97782111360183,0.0,281898.23040515825,0.7558447477952128,0.0,0.7558447477952128,5404.514032527389
pressurized_tank,Node,0.8,9269306.975905418,,290.4137309491317,147795.62596007064,107.84479714719663,0.0,281728.63810828584,0.7549135800303765,0.0,0.7549135800303765,5404.513672715632
pressurized_tank,Node,0.8,9251065.122625588,,290.2444670764305,147533.72420497015,107.71199369244616,0.0,281559.28042902966,0.7539839558471231,0.0,0.7539839558471231,5404.513313345418
pressurized_tank,Node,0.9,9232870.896301705,,290.0754066166975,147272.41347649327,107.57941023076361,0.0,281390.15674369934,0.7530558716153453,0.0,0.7530558716153453,5404.5129544154715
pressurized_tank,Node,0.9,9214724.131066348,,289.90654910836474,147011.6920181404,107.4470462452822,0.0,281221.2664310336,0.7521293237169754,0.0,0.7521293237169754,5404.512595924526
pressurized_tank,Node,1.0,9196624.661798619,,289.7378940914562,146751.55808027182,107.3149012208475,0.0,281052.6088721877,0.7512043085459326,0.0,0.7512043085459326,5404.512237871322
pressurized_tank,Node,1.0,9178572.324120004,,289.56944110758104,146492.00992007364,107.18297464401007,0.0,280884.18345071963,0.7502808225080705,0.0,0.7502808225080705,5404.511880254598
pressurized_tank,Node,1.1,9160566.954390237,,289.4011896999256,146233.045801524,107.05126600301777,0.0,280715.9895525803,0.7493588620211244,0.0,0.7493588620211244,5404.5115230731035
pressurized_tank,Node,1.1,9142608.389703203,,289.2331394132464,145974.66399535944,106.91977478780854,0.0,280548.0265661014,0.7484384235146597,0.0,0.7484384235146597,5404.511166325591
pressurized_tank,Node,1.2,9124696.46788288,,289.0652897938638,145716.8627790417,106.7885004900028,0.0,280380.2938819813,0.7475195034300196,0.0,0.7475195034300196,5404.510810010822
pressurized_tank,Node,1.2,9106831.027479252,,288.89764038965376,145459.6404367243,106.65744260289625,0.0,280212.7908932766,0.7466020982202738,0.0,0.7466020982202738,5404.510454127558
pressurized_tank,Node,1.2,9089011.907764355,,288.730190750042,145202.99525921966,106.52660062145246,0.0,280045.5169953867,0.7456862043501672,0.0,0.7456862043501672,5404.510098674566
pressurized_tank,Node,1.3,9071238.948728222,,288.5629404259961,144946.92554396638,106.39597404229558,0.0,279878.4715860457,0.7447718182960691,0.0,0.7447718182960691,5404.50974365062
pressurized_tank,Node,1.4,9053511.991074963,,288.39588897001875,144691.42959499653,106.2655623637032,0.0,279711.6540653084,0.7438589365459224,0.0,0.7438589365459224,5404.509389054501
pressurized_tank,Node,1.4,9035830.876218803,,288.22903593614143,144436.50572290327,106.13536508559902,0.0,279545.06383554,0.7429475555991931,0.0,0.7429475555991931,5404.509034884989
pressurized_tank,Node,1.5,9018195.446280172,,288.0623808799169,144182.15224480873,106.00538170954577,0.0,279378.70030140405,0.7420376719668205,0.0,0.7420376719668205,5404.5086811408755
pressurized_tank,Node,1.5,9000605.544081818,,287.8959233584122,143928.36748433195,105.87561173873812,0.0,279212.5628698511,0.7411292821711668,0.0,0.7411292821711668,5404.50832782095
pressurized_tank,Node,1.6,8983061.013144944,,287.7296629302026,143675.14977155701,105.74605467799543,0.0,279046.65095010825,0.7402223827459681,0.0,0.7402223827459681,5404.507974924016
pressurized_tank,Node,1.6,8965561.697685387,,287.56359915536467,143422.4974430015,105.61671003375494,0.0,278880.9639536663,0.7393169702362846,0.0,0.7393169702362846,5404.507622448872
pressurized_tank,Node,1.7,8948107.442609765,,287.39773159546854,143170.408841585,105.48757731406455,0.0,278715.5012942705,0.7384130411984519,0.0,0.7384130411984519,5404.507270394329
pressurized_tank,Node,1.7,8930698.093511736,,287.23205981357273,142918.88231659785,105.35865602857596,0.0,278550.26238790754,0.7375105922000318,0.0,0.7375105922000318,5404.506918759198
pressurized_tank,Node,1.8,8913333.49666821,,287.0665833742165,142667.9162236701,105.22994568853777,0.0,278385.2466527962,0.7366096198197644,0.0,0.7366096198197644,5404.506567542296
pressurized_tank,Node,1.8,8896013.499035614,,286.90130184341353,142417.5089247406,105.10144580678843,0.0,278220.45350937516,0.7357101206475191,0.0,0.7357101206475191,5404.506216742447
pressurized_tank,Node,1.9,8878737.948246194,,286.73621478864555,142167.65878802634,104.97315589774958,0.0,278055.8823802931,0.7348120912842471,0.0,0.7348120912842471,5404.505866358478
pressurized_tank,Node,1.9,8861506.692604303,,286.57132177885535,141918.36418799186,104.84507547741907,0.0,277891.53269039636,0.7339155283419335,0.0,0.7339155283419335,5404.505516389219
pressurized_tank,Node,2.0,8844319.581082743,,286.4066223844405,141669.62350531897,104.71720406336425,0.0,277727.40386672027,0.7330204284435498,0.0,0.7330204284435498,5404.50516683351
pressurized_tank,Node,2.0,8827176.463319127,,286.2421161772469,141421.43512687663,104.58954117471521,0.0,277563.4953384768,0.7321267882230065,0.0,0.7321267882230065,5404.50481769019
pressurized_tank,Node,2.1,8810077.189612282,,286.0778027305627,141173.7974456908,104.46208633215808,0.0,277399.8065370444,0.7312346043251066,0.0,0.7312346043251066,5404.504468958105
pressurized_tank,Node,2.1,8793021.610918598,,285.91368161911106,140926.7088609149,104.33483905792832,0.0,277236.3368959573,0.7303438734054982,0.0,0.7303438734054982,5404.504120636103
pressurized_tank,Node,2.1,8776009.578848526,,285.7497524190448,140680.16777779986,104.20779887580407,0.0,277073.0858508954,0.7294545921306286,0.0,0.7294545921306286,5404.5037727230465
